爬取时间,作品名,作品ID,作品链接,评论者ID,评论者主页,短评内容,短评发布时间,星级评分数,短评有用数
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,alty,https://www.douban.com/people/alty/,"
            
                云淡风轻型真.大女主戏，嗑药酗酒为下旗，男棋手们都变好基友也是为了下棋♟虽然到了第五六集那种啊全世界原来都爱你的感觉有点过于迪士尼，不过女主颜值衣品演技都在线堪称《哈蒙在巴黎》最后在莫斯科街头下棋估计有点费老大爷啊哈哈
        ","
                    2020-10-25
                ",5,72
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,Sendō,https://www.douban.com/people/159486566/,"
            
                突然发现女主和客串的托马斯小时候（真爱至上里的小男孩）好像啊
        ","
                    2020-10-23
                ",4,105
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,午睡,https://www.douban.com/people/sepmokanewsky/,"
            
                天才的成长也逃不过那些凡人的经历和生活的琐碎——抑或是只有在经历过这些世俗之后还能保有热爱才能更上一层楼。一度认为跨入青春期的主演太过于美丽。孤儿院的启蒙和最后回访是最喜欢的部分。
        ","
                    2020-10-25
                ",5,43
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,小绵,https://www.douban.com/people/sherayang/,"
            
                爽片令人舒适。戒了药瘾和酒瘾之后还是天才。天才也需要家人的爱，养母、发小、教她下棋的校工爷爷还有一众棋友，都给了她很多力量吧。这部剧叫beth在巴黎也没什么错，每套衣服都好好看。
        ","
                    2020-10-24
                ",4,75
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,阿斯,https://www.douban.com/people/donnawang/,"
            
                主角过于依赖天赋，看上去是女权。其实只是男权思想的篡改性别，女主没有收到任何时代的阻力，甚至获得所有手下败将的爱慕。对于个人性格和职业生涯的塑造过于老套，第一遍看完就不会有回味的冲动了。
        ","
                    2020-10-29
                ",3,151
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,三四,https://www.douban.com/people/sansi/,"
            
                一部剧看下来我也没弄懂过国际象棋的规则，sad。
        ","
                    2020-10-27
                ",4,65
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,木兮,https://www.douban.com/people/180722097/,"
            
                好久没一口气看完一部剧，我想ta不仅是女性觉醒的故事，冲破男性社会的独立，也是关于团队合作荣耀的故事，是徐徐前行需要有朋友陪伴的故事，也是自我阴暗面和解的故事，最后女性才能帮助女性，我坚信！
        ","
                    2020-10-26
                ",5,39
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,欢乐分裂,https://www.douban.com/people/flowermumu/,"
            
                4.5；这才是真正的大女主爽剧！一个天才少女棋手孤寂而灿烂的奋进之路在七集体量之内，如推土机一般演进，舍弃枝枝蔓蔓的套路细节和小情小爱，高度集中笔墨专注搞事业。眼前唯有华山论剑独孤求败，身后全是升级残渣炮灰，这样的人注定饱受身心压力，何况童年阴影长久盘桓，棋盘就是她的整个世界，是助她捱过难关的安慰剂。安雅·泰勒-乔伊又接了一个好角色，凌厉果敢，锋芒毕露，各种高端棋局展露的智商自不必说，处理其他事也是气场过人，果然聪明的人做什么都是高段位；几段感情也很具可看性（感人的后宫群啊）；人生路上幸得伯乐启蒙、好友助力、养母陪伴，被人爱、被人认同真是太好啦！
        ","
                    2020-10-29
                ",4,31
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,茂树,https://www.douban.com/people/hellomartin/,"
            
                可以是《天才》剧集第三季，或者《美丽心灵》geek式的加长版，把一套国际象棋的术语组织在一起平常人都会认为高深无比，未知领域总会自带光环，剧情的质朴也无损于颅内高潮的快乐，却又不会止步于高智商控被包装成“骄傲与荣耀”的个人英雄主义，并延伸出几个忠告：1、不可酗酒，酒精反智的、躁郁，损害是不可逆的；2、对任何放大感知力或容易产生依赖的药物要坚决抵抗，不可成瘾；3、女性事业独立的目的是发挥自身潜能的自由，以及选择的自由，独立本身不是目的；4、不要过度计较原生家庭造成的创伤，“介怀”同样是后遗症的一种，要修复、改良，再重塑自我；5、女性主义不是对男性的不尊重，而是对“平权”的呈现或者补偿；6、不可否认西方的福利体系和领养制度做到了对人的个体的最大保护；7、男权社会所默认的一切规则都需要不断去审视。
        ","
                    2020-10-28
                ",5,42
2020-11-12 14:11:28.928,后翼弃兵,32579283,https://movie.douban.com/subject/32579283/comments?sort=new_score&status=P,抹香鲸,https://www.douban.com/people/159774950/,"
            
                广大女性同胞们！搞事业吧！看看里面的家庭主妇一个个多惨…
        ","
                    2020-10-29
                ",4,45
